key_mlbam,key_retro,key_fangraphs,name_last,name_first
113315,devlj101,1003251,Devlin,Jim
427537,wendh902,-1,Wendelstedt,Hunter
120409,pereg101,1010181,Perez,George
111538,browc103,1001504,Brown,Clint
124457,winng101,1014138,Winn,George
119655,narrj001,1009453,Narron,Jerry
115127,greyr101,1005032,Grey,Reddy
123883,walsj104,1013577,Walsh,Joe
820606,bankf101,-1,Bankhead,Fred
112244,chilp101,1002191,Chiles,Pearce
665828,cabro002,21707,Cabrera,Oswaldo
116310,humpm001,1006187,Humphreys,Mike
110088,agosj001,1000084,Agosto,Juan
119975,oleat001,789,O'Leary,Troy
-1,goldf102,-1,Goldthwaite,Frank
124713,younr102,1014391,Young,Russ
816459,wrigz102,-1,Wright,Zollie
122532,sommp101,1012276,Sommers,Andy
122790,stidp001,1012531,Stidham,Phil
425146,roben001,1620,Robertson,Nate
518577,cowgc001,7250,Cowgill,Collin
447980,diazt801,-1,Diaz,Tony
817918,ormec101,-1,Orme,Clarence
541663,roycg701,-1,Royce,Greg
118033,lyncd101,1007861,Lynch,Danny
124593,wrigg103,1014278,Wright,Gene
111201,bonnb001,1001171,Bonnell,Barry
-1,zacht901,-1,Zacharias,Thomas
111181,boltc102,1001152,Bolton,Cecil
117295,krauj101,1007144,Kraus,Jack
660294,tsuty001,27459,Tsutsugo,Yoshi
121847,schnj101,1011595,Schneider,Jeff
117914,lopea102,1007751,Lopez,Al
113009,dalep101,1002945,Daley,Pete
150277,david002,1244,Davis,Doug
115458,hardl103,1005346,Harting,Jumbo
115855,herrj101,1005735,Herrnstein,John
110066,adams102,1000064,Adams,Spencer
121865,schrp102,1011613,Schreiber,Paul
123891,waltb101,1013582,Walter,Bernie
110850,bendc101,1000827,Bender,Charles
114489,fultb001,1004403,Fulton,Bill
643585,vielj801,-1,Viele,Justin
670183,actog001,27583,Acton,Garrett
275933,downs001,773,Downs,Scott
816950,,-1,Thompson,Harold
502055,buenj001,9494,Buente,Jay
452075,robec002,7705,Robertson,Connor
122561,spanb101,1012303,Spanswick,Bill
118732,mcgrm101,1008548,McGrillis,Mark
112303,clacb101,1002250,Clack,Bobby
115052,grasm101,1004956,Grasso,Mickey
112818,cregp101,1002759,Cregan,Pete
111295,bowij001,1001257,Bowie,Jim
488681,barnb002,629,Barnes,Brandon
118759,mcivo101,1008575,McIvor,Otto
111271,boucm101,1001233,Boucher,Medric
115646,hayev001,1005531,Hayes,Von
123869,wallr101,1013556,Waller,Red
114878,goarj101,1004790,Goar,Jot
117450,landr001,1007292,Landestoy,Rafael
430898,alfaj001,2388,Alfaro,Jason
120406,pered001,1010180,Perez,Danny
124010,weavr101,1013704,Weaver,Roger
113784,eiscj001,774,Eischen,Joey
-1,clemb901,-1,Clement,Curly
116410,irwiw101,1006281,Irwin,Walt
123361,tisij101,1013083,Tising,Jack
119499,mullj101,1009307,Mulligan,Joe
677951,wittb002,25764,Witt,Bobby
819692,dunbv101,-1,Dunbar,Vet
492705,vavrj801,-1,Vavra,Joe
476704,lowrj001,4418,Lowrie,Jed
115069,graym101,1004975,Gray,Milt
113092,davij105,1003032,Davie,Jerry
117470,langd102,1007314,Lang,Don
112736,counc001,52,Counsell,Craig
